Rodrigo Bentancur,Uruguay,Midfielder,187cm,25/06/1997(24)
Christian Benteke,Belgium,Forward,190cm,03/12/1990(31)
Gaetano Berardi,Switzerland,Defender,179cm,21/08/1988
Lucas Bergstrm,Finland,Goalkeeper,,05/09/2002(19)
Steven Bergwijn,Netherlands,Forward,178cm,08/10/1997(24)
Adrin Bernab,Spain,Midfielder,170cm,26/05/2001
Bernard,Brazil,Forward,164cm,08/09/1992
Bernardo,Brazil,Defender,186cm,14/05/1995
Bernardo Silva,Portugal,Midfielder,173cm,10/08/1994(27)
Ryan Bertrand,England,Defender,179cm,05/08/1989(32)
Muhamed Besic,Bosnia & Herzegovina,Midfielder,180cm,10/09/1992
Marcus Bettinelli,England,Goalkeeper,194cm,24/05/1992(29)
Mads Bidstrup,Denmark,Midfielder,175cm,25/02/2001
Mika Biereth,England,Forward,,08/02/2003(19)
Nathan Bishop,England,Goalkeeper,185cm,15/10/1999
Yves Bissouma,Mali,Midfielder,182cm,30/08/1996(25)
Harvey Blair,England,Forward,,14/09/2003(18)
Oscar Bobb,Norway,Midfielder,,12/07/2003(18)
Lamare Bogarde,Netherlands,Midfielder,,05/01/2004(18)
Mateusz Bogusz,Poland,Midfielder,175cm,22/08/2001
Bendeguz Bolla,Hungary,Defender,,22/11/1999
Luke Bolton,England,Midfielder,174cm,07/10/1999
Willy Boly,Cote DIvoire,Defender,195cm,03/02/1991(31)
Jamie Bowden,Ireland,Midfielder,,09/07/2001(20)
Jarrod Bowen,England,Forward,175cm,20/12/1996(25)
Conor Bradley,Northern Ireland,Midfielder,,09/07/2003(18)
Robbie Brady,Ireland,Midfielder,176cm,14/01/1992
Jarrad Branthwaite,England,Defender,195cm,27/06/2002(19)
Sammy Braybrooke,England,Midfielder,,12/03/2004(18)
Mungo Bridge,England,Forward,,12/09/2000
Nathan Broadhead,Wales,Forward,178cm,05/04/1998
Armando Broja,Albania,Forward,191cm,10/09/2001(20)
Josh Brownhill,England,Midfielder,180cm,19/12/1995(26)
Bruno Fernandes,Portugal,Midfielder,179cm,08/09/1994(27)
Bruno Guimares,Brazil,Midfielder,182cm,16/11/1997(24)
Bruno Jordo,Portugal,Midfielder,180cm,12/10/1998
Lewis Brunt,England,Midfielder,,06/11/2000(21)
Emiliano Buenda,Argentina,Midfielder,172cm,25/12/1996(25)
Hugo Bueno,Spain,Defender,180cm,18/09/2002(19)
Dan Burn,England,Defender,198cm,09/05/1992(29)
Finley Burns,England,Defender,,17/06/2003
Jack Butland,England,Goalkeeper,196cm,10/03/1993(29)
Sam Byram,England,Defender,180cm,16/09/1993(28)
Willy Caballero,Argentina,Goalkeeper,186cm,28/09/1981(40)
Gary Cahill,England,Defender,193cm,19/12/1985
Moiss Caicedo,Ecuador,Midfielder,178cm,02/11/2001(20)
Jake Cain,England,Midfielder,,02/09/2001
Caleb Chukwuemeka,England,Forward,,25/01/2002
Callum Rowe,England,Defender,,02/09/1999
Dominic Calvert-Lewin,England,Forward,187cm,16/03/1997(25)
Leonardo Campana,Ecuador,Forward,187cm,24/07/2000
Chem Campbell,Wales,Midfielder,,30/12/2002(19)
Sergi Cans,Spain,Forward,177cm,02/02/1997(25)
Todd Cantwell,England,Midfielder,177cm,27/02/1998
Elia Caprile,Italy,Goalkeeper,,25/08/2001
Carlos Vincius,Brazil,Forward,190cm,25/03/1995
Andy Carroll,England,Forward,193cm,06/01/1989
Scott Carson,England,Goalkeeper,190cm,03/09/1985(36)
Cameron Carter-Vickers,United States,Defender,183cm,31/12/1997
Oliver Casey,England,Defender,188cm,14/10/2000
Matthew Cash,Poland,Defender,185cm,07/08/1997(24)
Timothy Castagne,Belgium,Defender,185cm,05/12/1995(26)
Craig Cathcart,Northern Ireland,Defender,188cm,06/02/1989(33)
Edinson Cavani,Uruguay,Forward,184cm,14/02/1987(35)
Dani Ceballos,Spain,Midfielder,179cm,07/08/1996
Cdric Soares,Portugal,Defender,172cm,31/08/1991(30)
Kallum Cesay,England,Defender,,04/09/2002(19)
Trevoh Chalobah,England,Defender,190cm,05/07/1999(22)
Calum Chambers,England,Defender,182cm,20/01/1995(27)
Shea Charles,Northern Ireland,Defender,,05/11/2003
Kgaogelo Chauke,England,Midfielder,,08/01/2003(19)
Daniel Chesters,England,Midfielder,,04/04/2002(20)
Ben Chilwell,England,Defender,178cm,21/12/1996(25)
Chiquinho,Portugal,Forward,179cm,05/02/2000(22)
Hamza Choudhury,England,Midfielder,178cm,01/10/1997(24)
Benjamin Chrisene,England,Midfielder,,12/01/2004(18)
Andreas Christensen,Denmark,Defender,187cm,10/04/1996(26)
Christian Marques,Portugal,Defender,187cm,15/01/2003
Carney Chukwuemeka,England,Midfielder,,20/10/2003(18)
Dennis Cirkin,England,Defender,181cm,06/04/2002
CJ Egan-Riley,England,Defender,,02/01/2003(19)
Ciaran Clark,Ireland,Defender,185cm,26/09/1989(32)
Harry Clarke,England,Defender,,02/03/2001
Jake Clarke-Salter,England,Defender,188cm,22/09/1997
Leighton Clarkson,England,Midfielder,175cm,19/10/2001
Tom Cleverley,England,Midfielder,175cm,12/08/1989(32)
Nathaniel Clyne,England,Defender,175cm,05/04/1991(31)
Conor Coady,England,Defender,185cm,25/02/1993(29)
Alex Cochrane,England,Defender,,21/04/2000
Samus Coleman,Ireland,Defender,177cm,11/10/1988(33)
Nathan Collins,Ireland,Defender,193cm,30/04/2001(20)
Aaron Connolly,Ireland,Forward,,28/01/2000
Kamil Conteh,England,Midfielder,177cm,26/12/2002
Liam Cooper,Scotland,Defender,180cm,30/08/1991(30)
Theo Corbeanu,Canada,Forward,190cm,17/05/2002
Jack Cork,England,Midfielder,183cm,25/06/1989(32)
Maxwel Cornet,Cote DIvoire,Midfielder,179cm,27/09/1996(25)
Ben Cottrell,England,Midfielder,,31/10/2001
Vladimir Coufal,Czech Republic,Defender,179cm,22/08/1992(29)
Conor Coventry,Ireland,Midfielder,177cm,25/03/2000
Matthew Cox,England,Goalkeeper,,02/05/2003(18)
Charlie Cresswell,England,Defender,,17/08/2002(19)
Kane Crichlow,Bermuda,Midfielder,,21/08/2000
Cristiano Ronaldo,Portugal,Forward,187cm,05/02/1985(37)
Cucho Hernndez,Colombia,Forward,176cm,20/04/1999(22)
Marc Cucurella,Spain,Defender,172cm,22/07/1998(23)
Jamie Cumming,England,Goalkeeper,186cm,04/09/1999
Luke Cundle,England,Midfielder,,26/04/2002(19)
Patrick Cutrone,Italy,Forward,183cm,03/01/1998
Pontus Dahlberg,Sweden,Goalkeeper,194cm,21/01/1999
Patson Daka,Zambia,Forward,183cm,09/10/1998(23)
Sam Dalby,England,Forward,,07/12/1999
Vontae Daley-Campbell,England,Defender,,02/04/2001
Stuart Dallas,Northern Ireland,Midfielder,183cm,19/04/1991(30)
Henrik Dalsgaard,Denmark,Defender,192cm,27/07/1989
Daniel Podence,Portugal,Midfielder,165cm,21/10/1995(26)
Luke Daniels,England,Goalkeeper,185cm,05/01/1988
Scott Dann,England,Defender,188cm,14/02/1987
Karl Darlow,England,Goalkeeper,190cm,08/10/1990(31)
Josh Dasilva,England,Midfielder,184cm,23/10/1998(23)
David Luiz,Brazil,Defender,189cm,22/04/1987
Tom Davies,England,Midfielder,180cm,30/06/1998(23)
Keinan Davis,England,Forward,191cm,13/02/1998
Craig Dawson,England,Defender,188cm,06/05/1990(31)
Laurens De Bock,Belgium,Defender,179cm,07/11/1992(29)
Lucas De Bolle,Scotland,Midfielder,,22/10/2002(19)
Kevin De Bruyne,Belgium,Midfielder,181cm,28/06/1991(30)
David de Gea,Spain,Goalkeeper,192cm,07/11/1990(31)
Troy Deeney,England,Forward,183cm,29/06/1988
Liam Delap,England,Forward,,08/02/2003(19)
Fabian Delph,England,Midfielder,174cm,21/11/1989(32)
Lars Dendoncker,Belgium,Defender,,03/04/2001(21)
Emmanuel Dennis,Nigeria,Forward,175cm,15/11/1997(24)
Halil Dervisoglu,Turkey,Forward,183cm,08/12/1999
Alfie Devine,England,Midfielder,179cm,01/08/2004(17)
Kiernan Dewsbury-Hall,England,Midfielder,,06/09/1998(23)
